indicator_id,domain,indicator_name,value,score,source,notes
P1,Política y Regulación,Días para constituir empresa,,,,
P2,Política y Regulación,Régimen fiscal startups,,,,
P3,Política y Regulación,Programas públicos activos,,,,
S1,Servicios de Apoyo,Aceleradoras activas,,,,
S2,Servicios de Apoyo,Incubadoras activas,,,,
S3,Servicios de Apoyo,Coworkings,,,,
S4,Servicios de Apoyo,Mentores registrados,,,,
S5,Servicios de Apoyo,Velocidad internet (Mbps),,,,
H1,Capital Humano,Universidades con programas de emprendimiento,,,,
H2,Capital Humano,Graduados STEM anuales,,,,
H3,Capital Humano,Bootcamps tech activos,,,,
H4,Capital Humano,Talento tech disponible,,,,
H5,Capital Humano,Acceso internet (%),,,,
I1,I+D e Innovación,Patentes otorgadas (5 años),,,,
I2,I+D e Innovación,Centros de investigación,,,,
I3,I+D e Innovación,Publicaciones científicas indexadas (3 años),,,,
F1,Financiamiento,Inversión total startups (3 años USD),,,,
F2,Financiamiento,Rondas de inversión anuales,,,,
F3,Financiamiento,VCs con presencia local,,,,
F4,Financiamiento,Inversionistas ángeles activos,,,,
F5,Financiamiento,Exits documentados,,,,
F6,Financiamiento,Capital semilla público,,,,
C1,Cultura,Meetups activos,,,,
C2,Cultura,Eventos anuales de emprendimiento,,,,
C3,Cultura,Medios especializados,,,,
C4,Cultura,Comunidades online,,,,
C5,Cultura,Confianza social / percepción emprendimiento,,,,
M1,Mercados,Startups activas,,,,
M2,Mercados,Corporativos tech,,,,
M3,Mercados,Sectores de especialización,,,,
