indicator_id,domain,indicator_name,value,score,source,notes
P1,Política y Regulación,Días para constituir empresa,1-15 días,70,Secretaría de Economía (2024),SAS 1 día online; S.A. de C.V. ~15 días ante notario. Dato nacional aplica igual en Q. Roo.
P2,Política y Regulación,Régimen fiscal especial startups,No existe régimen específico,30,SAT / Ley del ISR (2024),RESICO beneficia PyMEs con tasas 1-2.5% pero es régimen general no dirigido a startups tech. Q. Roo no tiene incentivos estatales adicionales documentados.
P3,Política y Regulación,Programas públicos activos,4 programas identificados,40,SEDE Quintana Roo / FOFINQROO (2025),"FOFINQROO (micronegocios), Impulso NAFIN+QR (607.6M MXN bolsa), Centro Emprendedor ICATQR, Crédito a la Palabra Mujeres. Orientados a PyMEs/microcrédito, no a startups innovadoras."
F1,Financiamiento,Inversión total en startups (3 años),~USD 1-3M (est.),15,Decelera Ventures / prensa (2024-2025),"Decelera Ventures opera fondo de $30M para LatAm con cohorts anuales en Riviera Maya, pero invierte en startups de toda la región no necesariamente locales. Inversión documentada EN startups de Riviera Maya es mínima."
F2,Financiamiento,Rondas de inversión anuales,1-2 rondas/año (est.),10,Crunchbase / prensa (2024-2025),Decelera invirtió en Quipu Ruedata Korzo Latai Labs (no todas locales). No hay patrón de rondas frecuentes en startups con sede en la zona.
F3,Financiamiento,VCs con presencia local,1 (estacional),15,Decelera Ventures (2024-2025),Decelera Ventures es el único con presencia documentada; opera cohorts anuales de 10 días en Akumal/Riviera Maya. No hay VC con oficina permanente.
F4,Financiamiento,Inversionistas ángeles activos,Sin documentar,10,Búsqueda web (2025),No se identificaron redes de ángeles ni inversionistas ángeles activos en Riviera Maya. Algunos empresarios hoteleros podrían invertir informalmente pero sin registro.
F5,Financiamiento,Exits documentados (5 años),0 locales,20,Crunchbase / prensa (2025),Sin exits documentados de startups con sede en Riviera Maya. México tiene exits a nivel nacional (CDMX Monterrey GDL) que sirven de referente.
F6,Financiamiento,Capital semilla público,1 programa limitado,20,FOFINQROO / SEDE QR (2025),"FOFINQROO otorga microcréditos a artesanos y micronegocios (ticket ~$54K MXN promedio). No hay programa de capital semilla orientado a startups innovadoras. Tandas para el Bienestar es federal, tickets de $6-20K MXN."
C1,Cultura,Meetups de emprendimiento activos,4 meetups (est.),45,"Meetup.com / Facebook / prensa (2025)","Riviera Maya Tech Builders (activo sellout eventos en Nest Coworking), Startup Playa (Facebook), meetups de nómadas digitales en Selina, eventos networking expat. Ajustado: ~7.3/millón."
C2,Cultura,Eventos anuales de emprendimiento,6-8 eventos/año (est.),60,"Eventbrite / AllEvents / prensa (2024-2025)","Decelera México (anual 10 días), Startup México bootcamp (ago 2024 en Solidaridad), Techstars Startup Weekend PDC, Pitch at the Beach (Cozumel), eventos networking en coworkings. Ajustado: ~11-14/millón."
C3,Cultura,Medios especializados en emprendimiento local,Sin medios dedicados,20,Búsqueda web (2025),Riviera Maya News cubre negocios pero no tiene sección dedicada a ecosistema emprendedor. No se identificaron blogs podcasts ni newsletters especializados en startups locales.
C4,Cultura,Comunidades online de emprendedores,2 comunidades identificadas,40,Facebook / Meetup (2025),"Startup Playa QR (Facebook), Riviera Maya Tech Builders (Meetup), grupos expat con contenido emprendedor. Actividad intermitente en la mayoría."
C5,Cultura,Confianza social / percepción emprendimiento,18% confianza interpersonal; 55% GEM buena opción,45,Latinobarómetro (2023) / GEM México,"Dato nacional. La fuerte presencia de comunidad expat/nómada digital en Riviera Maya probablemente eleva la percepción local del emprendimiento respecto al promedio nacional, pero no hay dato subnacional."
S1,Servicios de Apoyo,Aceleradoras activas,1 (estacional),20,Decelera Ventures / búsqueda web (2025),"Decelera Ventures opera cohort anual de 10 días en Riviera Maya (2024 y 2025 confirmados). No hay aceleradora permanente con cohortes regulares. Ajustado: ~1.8/millón."
S2,Servicios de Apoyo,Incubadoras activas,1-2 (est.),40,SEDE QR / ICATQR / búsqueda web (2025),"Centro Emprendedor ICATQR (asesoría y vinculación), incubadora apoyada por INADEM histórico en Playa del Carmen (vigencia no confirmada). UTRM tiene programas de emprendimiento pero no incubadora formal. Ajustado: ~2.7/millón."
S3,Servicios de Apoyo,Espacios de coworking,10+ coworkings,80,"Coworker.com / Google Maps / búsqueda web (2025)","Tulum: Digital Jungle ZOÍ Los Amigos Cowork CoWorking Tulum Holistika. Playa del Carmen: Nest Coworking Selina Bunker Xinergy Workpass. Al menos 10 espacios activos. Ajustado: ~18/millón. Impulsados por comunidad nómada digital."
S4,Servicios de Apoyo,Mentores registrados,5-10 (est.),40,Decelera / búsqueda web (2025),"Decelera trae mentores durante cohorts anuales. Workshop Startup de Anáhuac Cancún conecta con mentores. No hay plataforma permanente de mentoría local. Ajustado: ~12.7/millón."
S5,Servicios de Apoyo,Velocidad internet,~65 Mbps (est. regional),55,"Ookla/SpeedGEO (2024-2025)","Playa del Carmen promedio 77.5 Mbps (Totalplay hasta 118 Mbps). Tulum variable 20-120 Mbps dependiendo de fibra vs microwave. Promedio regional estimado ~65 Mbps. GigNet expandiendo fibra óptica en la zona."
H1,Capital Humano,Universidades con programas de emprendimiento,2 universidades,40,"Portales universitarios / búsqueda web (2025)","UTRM (Playa del Carmen TI y Desarrollo de Software BIS), UQROO Campus Playa del Carmen. Universidad Riviera promueve emprendimiento pero sin programa formal. Anáhuac Cancún con Workshop Startup opera en zona amplia."
H2,Capital Humano,Graduados STEM anuales,150-250 (est.),25,ANUIES / Data México (2022),"UTRM gradúa en TI y áreas técnicas; UQROO campus pequeño (~5 ingeniería en 2022). Estimación conservadora para zona Riviera Maya. Q. Roo no es polo STEM."
H3,Capital Humano,Bootcamps tech activos,0 permanentes,20,Course Report / búsqueda web (2025),"CodingNomads operó en PDC (2017 no confirmado actual). 4Geeks Academy disponible online. No hay bootcamp tech presencial permanente identificado en la zona. Solo acceso remoto."
H4,Capital Humano,Talento tech (LinkedIn),~800-1500 (est.),35,LinkedIn / búsqueda web (2025),"Comunidad significativa de nómadas digitales tech pero muchos son transitorios. Talento tech residente permanente estimado en rango 800-1500. Incluye desarrolladores remotos freelancers y empleados de empresas foráneas."
H5,Capital Humano,Acceso a internet (%),~80% (est.),70,INEGI ENDUTIH (2023),"Nacional 83.5%. Q. Roo es estado turístico con buena infraestructura urbana. Estimación ~80% considerando zonas rurales del municipio de Tulum y Felipe Carrillo Puerto. Arriba del promedio del sur pero debajo del centro."
M1,Mercados,Startups activas identificadas,15-20 (est.),35,"Crunchbase / búsqueda web (2025)","ABIX Telecom proyectos Web3 (Tulum Coin More Women in Crypto) startups de turismo-tech proptech y algunas de servicios digitales. Muchas son micro-emprendimientos no tech puro. Ajustado: ~27/millón."
M2,Mercados,Corporativos tech con presencia local,2-3 (est.),30,"LinkedIn / búsqueda web (2025)","GigNet (ISP fibra óptica basado en Riviera Maya), Genotipo (agencia digital), pocas agencias de software. La mayoría de tech corporativos de Q. Roo están en Cancún (Spaceship Labs etc.). Ajustado: ~4.5/millón."
M3,Mercados,Sectores de especialización,1 sector con concentración,35,"Análisis de startups / prensa (2025)","Tourism-tech/hospitality-tech es el sector con mayor concentración natural por vocación turística. Proptech emergente. Web3/crypto nicho pequeño en Tulum. Sin cluster tech formal."
I1,I+D e Innovación,Patentes otorgadas (5 años),<10 (est.),5,IMPI / estimación (2025),"Q. Roo no es polo de patentamiento. Sin universidades de investigación fuertes en la zona. Estimación conservadora basada en baja actividad de I+D formal. Ajustado: ~9/millón."
I2,I+D e Innovación,Centros de investigación,0-1,10,"CONAHCyT / COQHCYT / búsqueda web (2025)","ECOSUR opera desde Chetumal no desde Riviera Maya. CICY subsede (CEA) enfocada en agua. UQROO tiene programas de investigación pero campus PDC es pequeño. Sin centro de investigación formal en zona Riviera Maya. Ajustado: ~0.9/millón."
I3,I+D e Innovación,Publicaciones científicas indexadas (3 años),<30 (est.),15,"Scopus / SCImago / estimación (2025)","La producción científica de Q. Roo se concentra en Chetumal (UQROO sede principal ECOSUR). La zona Riviera Maya tiene presencia académica limitada en investigación indexada."
